Blank,Type,Model,Asset Status,MAC Address,Serial,Asset Tag,Computer Name,Asset Condition,Delivery Date,Warranty,OS,Asset Remarks,Blank,Blank,Blank,Brand,Active Directory,Country,OS Version,Supplier,Disposal Date
,Laptop,Dell Latitude E6440,In Stock,ECF4BB12A4DB,CDMNVZ1,,PHRMBON-L000143,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB12A584,3FMNVZ1,,PHRMBON-L000144,WORKING,,,,,,Migration,2021-07-12,,AD Removed,,,,
,Laptop,Dell Latitude E7440,In Stock,ECF4BB0AB48A,4CKLVZ1,,l000272,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB12A272,7XMNVZ1,RM460653,PHRMBON-L000149,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB12A52A,1MMNVZ1,,PHRMBON-L000151,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E7440,In Use,ECF4BB0C1917,13KLVZ1,,PHRMBON-L000152,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E7440,In Stock,ECF4BB0AB5A9,32KLVZ1,,PHRMBON-L000153,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB4D5369,DPGJG12,,PHRMBON-L000155,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB4D52B0,9PGJG12,RM460885,PHRMBON-L000156,WORKING,2019-07-15,,,,,Migration,2021-07-12,,AD Removed,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB4D532C,BGGJG12,RM460849,PHRMBON-L000157,WORKING,2019-07-11,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB4CCFB7,8TGJG12,,PHRMBON-L000158,WORKING,,,,,,Migration,2021-07-12,,AD Removed,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6D9B73,6RGJG12,6RGJG12,PHRMBON-L000159,WORKING,,,,,,Migration,2021-07-12,,AD Removed,,,,
,Laptop,Dell Latitude E6440,In Use,ECF4BB488102,JWHJG12,,PHRMBON-L000160,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB4CCF97,5JHJG12,,PHRMBON-L000161,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB6D9BBA,CFJJG12,RM460912,PHRMBON-L000162,WORKING,,,,,,Migration,2021-07-12,,AD Removed,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB4A062F,7QGJG12,RM460856,PHRMBON-L000163,WORKING,,,,,,Migration,2021-07-12,,AD Removed,,,,
